                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4801,                 3.5111,                 1.3535,                0.30934,                 0.5297,                0.34561,                0.21999,                 1.3561,                 2.0003,                 1.3302,             0.00033236,             0.00033236,             0.00033236
                      2,                  1.395,                 2.5167,                  1.309,                0.31788,                0.52103,                  0.344,                0.19285,                 1.4086,                 1.8095,                   1.34,             0.00065251,             0.00065251,             0.00065251
                      3,                 1.4101,                 2.1568,                 1.3264,                 0.4209,                0.57598,                0.48611,                0.29614,                 1.3152,                 1.5871,                 1.2918,             0.00095947,             0.00095947,             0.00095947
                      4,                 1.3761,                 1.9526,                 1.3213,                0.33307,                0.67679,                0.41587,                0.25796,                 1.2912,                  1.618,                  1.261,              0.0009406,              0.0009406,              0.0009406
                      5,                  1.347,                    1.8,                 1.3034,                0.38602,                0.60298,                 0.4516,                0.29626,                  1.237,                 1.5906,                 1.2993,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.3269,                 1.7122,                 1.3016,                0.30937,                0.63074,                0.40545,                0.25882,                 1.2575,                 1.4851,                 1.2763,               0.000901,               0.000901,               0.000901
                      7,                 1.3086,                 1.6408,                  1.284,                0.36122,                0.67339,                0.44843,                 0.2959,                 1.2221,                 1.4076,                 1.2648,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.2783,                 1.5983,                  1.266,                0.38817,                0.65506,                0.48401,                0.32527,                 1.2428,                 1.4054,                  1.255,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.2812,                 1.5481,                  1.275,                0.41998,                0.65459,                0.50788,                0.34393,                 1.1398,                 1.3298,                 1.2017,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.2419,                 1.4944,                 1.2455,                0.42808,                 0.7011,                0.53958,                0.37138,                 1.2231,                 1.3232,                 1.2562,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.2531,                 1.4833,                 1.2546,                0.43905,                 0.6061,                0.51625,                0.34397,                 1.1727,                 1.3215,                 1.2074,               0.000802,               0.000802,               0.000802
                     12,                 1.2282,                 1.4338,                 1.2311,                  0.428,                0.71928,                0.57138,                 0.3798,                 1.2307,                 1.2408,                 1.2673,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.2218,                 1.4387,                 1.2369,                0.54147,                0.62114,                0.56413,                0.38513,                  1.141,                 1.1857,                 1.1932,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.2083,                 1.4009,                 1.2285,                0.44873,                0.66904,                0.53986,                0.37908,                 1.0786,                 1.1926,                  1.159,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.2012,                 1.3846,                 1.2237,                0.57005,                0.63977,                0.61486,                0.43032,                 1.1154,                 1.1474,                 1.1902,              0.0007228,              0.0007228,              0.0007228
                     16,                 1.1965,                 1.3451,                 1.2181,                0.49899,                0.63098,                0.60868,                0.42615,                 1.0943,                 1.1355,                 1.1611,               0.000703,               0.000703,               0.000703
                     17,                 1.1923,                 1.3477,                 1.2189,                0.55249,                0.71139,                0.65637,                0.44376,                 1.1427,                 1.1104,                 1.2031,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.2018,                 1.3464,                 1.2164,                0.56086,                0.74058,                0.63285,                0.44935,                 1.0583,                 1.1131,                 1.1681,              0.0006634,              0.0006634,              0.0006634
                     19,                 1.1659,                 1.3224,                 1.2012,                0.53936,                0.74354,                0.63048,                0.44238,                 1.1047,                  1.084,                 1.1803,              0.0006436,              0.0006436,              0.0006436
                     20,                 1.1683,                 1.2805,                  1.207,                 0.5868,                0.66788,                0.65671,                0.46303,                 1.0967,                 1.0842,                 1.1826,              0.0006238,              0.0006238,              0.0006238
                     21,                 1.1487,                 1.2775,                   1.19,                0.52569,                 0.6643,                0.65621,                0.46838,                 1.0343,                 1.0834,                 1.1332,               0.000604,               0.000604,               0.000604
                     22,                 1.1639,                 1.2481,                 1.1996,                0.51479,                0.72329,                0.65951,                 0.4907,                 1.0053,                 1.0636,                 1.1375,              0.0005842,              0.0005842,              0.0005842
                     23,                 1.1451,                 1.2369,                 1.1864,                0.60873,                 0.6966,                0.72147,                0.51993,                 1.0425,                 1.0201,                 1.1443,              0.0005644,              0.0005644,              0.0005644
                     24,                 1.1396,                 1.2216,                 1.1859,                0.57313,                0.77507,                0.71253,                0.52061,                0.99254,                0.99901,                 1.1216,              0.0005446,              0.0005446,              0.0005446
                     25,                  1.114,                 1.2011,                 1.1745,                0.57222,                0.70963,                0.67083,                0.49635,                0.96837,                0.97227,                 1.1026,              0.0005248,              0.0005248,              0.0005248
                     26,                 1.1088,                 1.1761,                 1.1696,                0.72121,                0.68086,                0.77467,                0.55328,                 1.0304,                0.96094,                 1.1254,               0.000505,               0.000505,               0.000505
                     27,                 1.1059,                 1.1489,                 1.1676,                0.59438,                0.78522,                0.75461,                 0.5663,                0.95959,                 0.9467,                 1.1099,              0.0004852,              0.0004852,              0.0004852
                     28,                 1.0911,                 1.1561,                 1.1594,                0.59423,                0.74955,                0.71969,                0.52466,                 0.9994,                0.97351,                 1.1209,              0.0004654,              0.0004654,              0.0004654
                     29,                 1.0712,                 1.1364,                 1.1482,                 0.7134,                0.68886,                 0.7954,                0.58266,                0.96938,                0.89949,                 1.0937,              0.0004456,              0.0004456,              0.0004456
                     30,                 1.0843,                 1.1168,                 1.1497,                0.60874,                0.78506,                0.76112,                0.55995,                 1.0034,                0.92008,                 1.1125,              0.0004258,              0.0004258,              0.0004258
                     31,                 1.0622,                 1.1107,                 1.1463,                 0.6922,                0.76131,                  0.803,                0.59128,                 1.0517,                0.92136,                 1.1456,               0.000406,               0.000406,               0.000406
                     32,                  1.061,                 1.0975,                   1.14,                0.70582,                0.76754,                0.78692,                0.60351,                 0.9345,                 0.8448,                 1.0837,              0.0003862,              0.0003862,              0.0003862
                     33,                 1.0611,                 1.0869,                 1.1451,                0.63345,                0.81134,                0.80234,                0.59852,                0.94244,                0.86275,                 1.0961,              0.0003664,              0.0003664,              0.0003664
                     34,                  1.046,                 1.0758,                 1.1388,                0.66218,                0.81237,                0.81466,                0.61171,                0.92227,                0.82343,                 1.0899,              0.0003466,              0.0003466,              0.0003466
