                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4826,                 3.6759,                  1.349,                0.32265,                 0.3582,                 0.3443,                0.20718,                 1.3077,                 2.6341,                 1.2653,             0.00033097,             0.00033097,             0.00033097
                      2,                 1.3977,                 2.6762,                 1.3009,                0.29889,                0.60326,                0.36339,                0.22053,                 1.3677,                 1.8954,                  1.331,             0.00065773,             0.00065773,             0.00065773
                      3,                 1.3844,                 2.2659,                 1.2843,                0.33712,                0.58581,                 0.4106,                0.25823,                 1.3549,                 2.0037,                 1.3215,             0.00097788,             0.00097788,             0.00097788
                      4,                 1.3767,                 2.0291,                 1.2751,                0.32104,                0.60844,                0.40503,                0.24722,                 1.3245,                 1.7945,                 1.3216,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.342,                 1.8814,                 1.2878,                0.29198,                0.58473,                0.35686,                0.21007,                 1.3156,                 1.7379,                 1.2961,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.3184,                 1.7302,                  1.263,                0.35468,                0.65876,                0.45982,                0.30331,                  1.268,                 1.5625,                  1.268,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2884,                 1.6572,                 1.2485,                0.33195,                0.63061,                0.44005,                0.27492,                 1.2678,                 1.6637,                 1.3033,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.2861,                 1.6127,                 1.2508,                0.34019,                0.68806,                 0.4513,                 0.2832,                 1.3012,                 1.6559,                 1.2917,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.2672,                 1.5544,                 1.2369,                0.42681,                0.65473,                0.46021,                0.29292,                 1.2568,                 1.6128,                 1.2819,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.2463,                 1.5089,                  1.241,                0.43275,                0.61978,                  0.492,                0.32002,                 1.2618,                 1.4305,                  1.299,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.2437,                 1.4914,                 1.2315,                0.46032,                0.63079,                0.55915,                0.36537,                 1.2189,                 1.3842,                 1.2676,               0.000901,               0.000901,               0.000901
                     12,                 1.2215,                 1.4297,                 1.2208,                0.41776,                0.61638,                0.51308,                0.33288,                  1.236,                 1.5037,                 1.2956,              0.0008911,              0.0008911,              0.0008911
                     13,                  1.219,                 1.4315,                 1.2214,                0.40899,                0.64018,                0.54137,                0.35994,                 1.2195,                 1.4768,                 1.2594,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.2056,                 1.3945,                 1.2064,                0.46647,                0.65565,                0.54017,                0.35175,                 1.2681,                 1.4203,                 1.2809,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.2004,                 1.3705,                 1.2083,                0.41678,                0.71081,                0.54305,                0.36882,                 1.2167,                 1.3262,                 1.2574,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.1934,                 1.3487,                 1.2037,                0.43249,                 0.6744,                0.53925,                0.36616,                 1.1951,                 1.3223,                 1.2591,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.1925,                 1.3298,                 1.2033,                0.46626,                0.73653,                0.57824,                0.38669,                 1.2338,                 1.3402,                 1.2778,              0.0008416,              0.0008416,              0.0008416
                     18,                  1.187,                 1.3099,                 1.2026,                0.51732,                0.59474,                0.53871,                 0.3517,                 1.2164,                 1.4066,                 1.2727,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.1793,                 1.3076,                 1.1945,                0.46712,                0.68019,                 0.5587,                 0.3658,                 1.2107,                 1.3202,                 1.2764,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.1647,                 1.2643,                 1.1813,                 0.4499,                0.76634,                0.57077,                0.38534,                 1.1947,                 1.2693,                 1.2526,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.1593,                  1.262,                 1.1722,                0.47637,                 0.6037,                 0.5831,                0.37671,                 1.2309,                 1.3421,                 1.2664,               0.000802,               0.000802,               0.000802
                     22,                 1.1456,                 1.2455,                 1.1732,                0.50313,                0.63498,                0.58708,                0.40053,                 1.2049,                 1.3297,                 1.2707,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.1377,                 1.2448,                 1.1724,                0.47442,                0.65976,                0.58766,                0.39183,                 1.2276,                 1.3265,                 1.2606,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.1245,                 1.2292,                 1.1624,                0.49037,                0.70399,                0.58198,                 0.3894,                 1.2476,                 1.2794,                  1.287,              0.0007723,              0.0007723,              0.0007723
