                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83104,                0.68466,                 1.0046,                0.93976,                0.90012,                0.96359,                0.80696,                0.76888,                0.47758,                0.95162,             0.00033097,             0.00033097,             0.00033097
                      2,                0.91431,                0.79626,                 1.0515,                0.92436,                0.86562,                0.95336,                0.75947,                0.82145,                0.57302,                0.98223,             0.00065773,             0.00065773,             0.00065773
                      3,                0.95702,                 0.8432,                 1.0692,                0.79489,                0.83979,                0.88336,                 0.6644,                0.95113,                0.72148,                 1.0746,             0.00097788,             0.00097788,             0.00097788
                      4,                0.98694,                0.88418,                 1.0848,                0.70379,                 0.8194,                0.82553,                0.62294,                0.96379,                0.79683,                 1.0669,              0.0009703,              0.0009703,              0.0009703
                      5,                0.99762,                0.91131,                  1.084,                0.72892,                0.82123,                0.84302,                0.60155,                 1.0469,                0.82289,                 1.1072,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0069,                0.89778,                 1.0852,                0.77625,                0.78963,                0.87134,                0.62989,                  1.034,                0.76938,                  1.099,              0.0009505,              0.0009505,              0.0009505
                      7,                0.98651,                 0.8903,                 1.0828,                0.75118,                0.82431,                0.85409,                0.63565,                0.96907,                0.79854,                 1.0738,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.0002,                0.88924,                 1.0828,                0.71326,                0.75886,                0.81889,                0.59191,                 1.0038,                0.80936,                 1.0948,              0.0009307,              0.0009307,              0.0009307
                      9,                0.98013,                0.87467,                 1.0746,                0.71733,                0.77432,                0.79916,                 0.5814,                  1.032,                0.86195,                 1.1367,              0.0009208,              0.0009208,              0.0009208
                     10,                0.98665,                0.87052,                  1.079,                0.78715,                 0.7649,                0.82918,                0.61575,                0.97453,                0.80855,                 1.0826,              0.0009109,              0.0009109,              0.0009109
                     11,                0.97151,                0.84673,                 1.0785,                0.78465,                0.81233,                0.87163,                0.63436,                0.99721,                0.73479,                 1.0823,               0.000901,               0.000901,               0.000901
                     12,                0.97299,                0.85156,                 1.0737,                0.73562,                0.75237,                0.81992,                0.58691,                 1.0605,                0.84298,                  1.138,              0.0008911,              0.0008911,              0.0008911
                     13,                0.95587,                0.84755,                 1.0665,                0.81149,                 0.7957,                0.87191,                0.60135,                 1.0949,                0.73319,                 1.1449,              0.0008812,              0.0008812,              0.0008812
                     14,                0.96661,                0.83939,                 1.0765,                0.76559,                0.84881,                0.86164,                0.62387,                  1.012,                0.73038,                 1.0958,              0.0008713,              0.0008713,              0.0008713
